Date,Code,Open,High,Low,Close,Volumn
1999/4/14,1332,185,187,179,180,2716000
1999/4/15,1332,182,190,181,187,1648000
1999/4/16,1332,187,189,183,184,1655000
1999/4/19,1332,189,190,186,188,948000
1999/4/20,1332,187,189,185,185,761000
1999/4/21,1332,185,187,183,184,491000
1999/4/22,1332,184,185,182,184,545000
1999/4/23,1332,183,185,182,185,858000
1999/4/26,1332,185,189,184,186,671000
1999/4/27,1332,186,186,184,185,515000
1999/4/28,1332,185,186,183,186,682000
1999/4/30,1332,186,187,183,184,406000
1999/5/6,1332,186,188,184,188,1224000
1999/5/7,1332,190,192,188,188,2257000
1999/5/10,1332,195,204,193,204,3225000
1999/5/11,1332,200,200,191,193,1467000
1999/5/12,1332,197,198,194,197,1331000
1999/5/13,1332,199,199,193,196,751000
1999/5/14,1332,198,198,192,192,1218000
1999/5/17,1332,193,193,186,187,806000
1999/5/18,1332,187,190,185,185,639000
1999/5/19,1332,185,185,176,177,1022000
1999/5/20,1332,180,182,175,180,998000
1999/5/21,1332,179,188,175,187,1339000
1999/5/24,1332,192,194,180,186,1208000
1999/5/25,1332,181,187,180,187,493000
1999/5/26,1332,185,190,182,190,594000
1999/5/27,1332,190,192,181,185,925000
1999/5/28,1332,180,181,176,179,633000
1999/5/31,1332,178,182,176,182,507000
1999/6/1,1332,182,183,179,183,585000
1999/6/2,1332,183,187,182,185,721000
1999/6/3,1332,183,184,181,182,337000
1999/6/4,1332,183,184,181,181,377000
1999/6/7,1332,185,189,183,185,426000
1999/6/8,1332,186,187,185,186,327000
1999/6/9,1332,185,189,184,187,602000
1999/6/10,1332,187,194,187,192,1982000
1999/6/11,1332,187,195,185,185,4552000
1999/6/14,1332,190,192,189,190,948000
1999/6/15,1332,192,194,187,187,946000
1999/6/16,1332,189,194,188,193,970000
1999/6/17,1332,195,197,193,193,1889000
1999/6/18,1332,198,204,196,197,3376000
1999/6/21,1332,200,202,196,197,1487000
1999/6/22,1332,197,199,193,194,880000
1999/6/23,1332,193,195,192,192,593000
1999/6/24,1332,192,194,190,193,456000
1999/6/25,1332,190,194,189,189,579000
1999/6/28,1332,190,192,190,192,338000
1999/6/29,1332,192,193,189,193,375000
1999/6/30,1332,192,196,189,191,991000
1999/7/1,1332,195,195,189,189,910000
1999/7/2,1332,192,199,190,197,1581000
1999/7/5,1332,199,202,197,201,2084000
1999/7/6,1332,202,203,198,199,1351000
1999/7/7,1332,199,200,197,198,1141000
1999/7/8,1332,198,199,197,198,719000
1999/7/9,1332,196,200,195,196,1267000
1999/7/12,1332,200,220,199,220,7780000
1999/7/13,1332,223,235,222,234,12381000
1999/7/14,1332,240,247,234,235,6946000
1999/7/15,1332,225,230,221,224,1712000
1999/7/16,1332,230,232,225,225,2322000
1999/7/19,1332,230,232,226,229,1266000
1999/7/21,1332,227,249,226,248,3428000
1999/7/22,1332,247,248,229,232,2173000
1999/7/23,1332,226,240,226,236,1567000
1999/7/26,1332,236,238,228,228,458000
1999/7/27,1332,225,227,217,221,1057000
1999/7/28,1332,221,221,215,215,775000
1999/7/29,1332,219,222,213,218,943000
1999/7/30,1332,225,225,217,220,635000
1999/8/2,1332,216,219,216,216,430000
1999/8/3,1332,217,220,210,213,920000
1999/8/4,1332,214,214,206,208,643000
1999/8/5,1332,208,209,197,201,1533000
1999/8/6,1332,203,205,198,198,589000
1999/8/9,1332,205,206,198,200,546000
1999/8/10,1332,207,207,198,200,605000
1999/8/11,1332,198,201,197,198,449000
1999/8/12,1332,200,202,196,200,541000
1999/8/13,1332,200,200,198,198,830000
1999/8/16,1332,202,209,199,209,610000
1999/8/17,1332,207,215,206,214,610000
1999/8/18,1332,215,216,206,207,318000
1999/8/19,1332,204,213,204,209,286000
1999/8/20,1332,208,215,208,210,508000
1999/8/23,1332,215,216,210,214,540000
1999/8/24,1332,216,255,216,240,5081000
1999/8/25,1332,240,244,233,244,3101000
1999/8/26,1332,242,244,232,233,1509000
1999/8/27,1332,232,233,225,228,714000
1999/8/30,1332,226,231,226,228,701000
1999/8/31,1332,230,230,215,215,843000
1999/9/1,1332,220,226,217,224,780000
1999/9/2,1332,222,223,216,217,396000
1999/9/3,1332,217,224,217,220,689000
1999/9/6,1332,220,226,219,223,1095000
1999/9/7,1332,223,224,220,220,492000
1999/9/8,1332,220,220,214,215,900000
1999/9/9,1332,218,222,213,218,465000
1999/9/10,1332,218,224,215,217,2141000
1999/9/13,1332,221,221,216,217,581000
1999/9/14,1332,216,220,212,218,661000
1999/9/16,1332,212,213,204,205,1164000
1999/9/17,1332,205,214,203,214,802000
1999/9/20,1332,214,214,211,213,591000
1999/9/21,1332,208,218,207,218,682000
1999/9/22,1332,216,226,212,215,1470000
1999/9/24,1332,214,214,203,205,814000
1999/9/27,1332,210,215,208,209,656000
